YEAR,GoogleKnowlege_OccupationShow,Group,Raw_Guest_List
1999,actor,1/11/99,Michael J. Fox
1999,Comedian,1/12/99,Sandra Bernhard
1999,television actress,1/13/99,Tracey Ullman
1999,film actress,1/14/99,Gillian Anderson
1999,actor,1/18/99,David Alan Grier
1999,actor,1/19/99,William Baldwin
1999,Singer-lyricist,1/20/99,Michael Stipe
1999,model,1/21/99,Carmen Electra
1999,actor,1/25/99,Matthew Lillard
1999,stand-up comedian,1/26/99,David Cross
1999,actress,1/27/99,Yasmine Bleeth
1999,actor,1/28/99,D. L. Hughley
1999,television actress,10/18/99,Rebecca Gayheart
1999,Comedian,10/19/99,Steven Wright
1999,actress,10/20/99,Amy Brenneman
1999,actress,10/21/99,Melissa Gilbert
1999,actress,10/25/99,Cathy Moriarty
1999,comedian,10/26/99,Louie Anderson
1999,actress,10/27/99,Sarah Michelle Gellar
1999,Singer-songwriter,10/28/99,Melanie C
1999,actor,10/4/99,Greg Proops
1999,television personality,10/5/99,Maury Povich
1999,actress,10/6/99,Brooke Shields
1999,Comic,10/7/99,Molly Shannon
1999,actor,11/1/99,Chris O'Donnell
1999,actress,11/15/99,Christina Ricci
1999,Singer-songwriter,11/16/99,Tori Amos
1999,actress,11/17/99,Yasmine Bleeth
1999,comedian,11/18/99,Bill Maher
1999,actress,11/2/99,Jennifer Love Hewitt
1999,rock band,11/29/99,Goo Goo Dolls
1999,musician,11/3/99,Dave Grohl
1999,Film actor,11/30/99,Stephen Rea
1999,Model,11/4/99,Roshumba Williams
1999,television actress,11/8/99,Kellie Martin
1999,actress,11/9/99,Kathy Griffin
1999,actress,12/1/99,Laura San Giacomo
1999,journalist,12/13/99,Joan Lunden
1999,actress,12/14/99,Shannen Doherty
1999,NA,12/15/99,Greatest Millennium Special
1999,comedian,12/16/99,George Carlin
1999,actor,12/2/99,Michael Boatman
1999,actor,12/20/99,David Boreanaz
1999,singer-songwriter,12/21/99,Jewel
1999,actor,12/6/99,Paul Rudd
1999,us senator,12/7/99,Senator Bob Dole
1999,us senator,12/8/99,Senator Bob Dole
1999,actor,12/9/99,Rob Schneider
1999,comedian,2/1/99,George Carlin
1999,actress,2/10/99,"Pamela Anderson, Natalie Raitano, Molly Culver"
1999,film actor,2/11/99,Daniel Stern
1999,actress,2/16/99,Melina Kanakaredes
1999,comedian,2/17/99,Ed McMahon
1999,actor,2/18/99,Mike Judge
1999,actor,2/2/99,Dave Foley
1999,television actress,2/3/99,Kellie Martin
1999,actor,2/4/99,Jerry O'Connell
1999,actress,2/8/99,Melissa Gilbert
1999,actor,2/9/99,Brendan Fraser
1999,pianist,3/1/99,John Tesh
1999,Vocalist,3/10/99,Sammy Hagar
1999,"rock band, actor",3/11/99,"Hootie & the Blowfish, Billy Crystal"
1999,Film actor,3/15/99,Peter Krause
1999,musician,3/16/99,Chris Isaak
1999,"writer, actor",3/17/99,"Frank DeCaro's Oscar Special, John Larroquette"
1999,actor,3/18/99,Joseph Gordon-Levitt
1999,actor,3/2/99,Eric McCormack
1999,actress,3/22/99,Jennifer Grey
1999,Stand-up comedian,3/23/99,Norm Macdonald
1999,actress,3/24/99,Sandra Bullock
1999,actress,3/25/99,Janine Turner
1999,Film director,3/29/99,Ron Howard
1999,actress,3/3/99,Jeri Ryan
1999,actor,3/30/99,Omar Epps
1999,actress,3/31/99,Diane Lane
